labelNumber,aalName,aalCode,LR,lobe,circosLabelName
0,Background,0,lr,na,background
1,Precentral_L,2001,l,frontal,PreC
2,Precentral_R,2002,r,frontal,PreC
3,Frontal_Sup_L,2101,l,frontal,FSup
4,Frontal_Sup_R,2102,r,frontal,FSup
5,Frontal_Sup_Orb_L,2111,l,frontal,FSupOrb
6,Frontal_Sup_Orb_R,2112,r,frontal,FSupOrb
7,Frontal_Mid_L,2201,l,frontal,FMid
8,Frontal_Mid_R,2202,r,frontal,FMid
9,Frontal_Mid_Orb_L,2211,l,frontal,FMidOrb
10,Frontal_Mid_Orb_R,2212,r,frontal,FMidOrb
11,Frontal_Inf_Oper_L,2301,l,frontal,FInfOper
12,Frontal_Inf_Oper_R,2302,r,frontal,FInfOper
13,Frontal_Inf_Tri_L,2311,l,frontal,FInfTri
14,Frontal_Inf_Tri_R,2312,r,frontal,FInfTri
15,Frontal_Inf_Orb_L,2321,l,frontal,FInfOrb
16,Frontal_Inf_Orb_R,2322,r,frontal,FInfOrb
17,Rolandic_Oper_L,2331,l,frontal,RolOper
18,Rolandic_Oper_R,2332,r,frontal,RolOper
19,Supp_Motor_Area_L,2401,l,frontal,SuppMot
20,Supp_Motor_Area_R,2402,r,frontal,SuppMot
21,Olfactory_L,2501,l,frontal,Olf
22,Olfactory_R,2502,r,frontal,Olf
23,Frontal_Sup_Medial_L,2601,l,frontal,FSupMed
24,Frontal_Sup_Medial_R,2602,r,frontal,FSupMed
25,Frontal_Mid_Orb_L,2611,l,frontal,FMidOrb2
26,Frontal_Mid_Orb_R,2612,r,frontal,FMidOrb2
27,Rectus_L,2701,l,frontal,Rect
28,Rectus_R,2702,r,frontal,Rect
29,Insula_L,3001,l,frontal,Ins
30,Insula_R,3002,r,frontal,Ins
31,Cingulum_Ant_L,4001,l,cingulate,CiAnt
32,Cingulum_Ant_R,4002,r,cingulate,CiAnt
33,Cingulum_Mid_L,4011,l,cingulate,CiMid
34,Cingulum_Mid_R,4012,r,cingulate,CiMid
35,Cingulum_Post_L,4021,l,cingulate,CiPost
36,Cingulum_Post_R,4022,r,cingulate,CiPost
37,Hippocampus_L,4101,l,temporal,Hip
38,Hippocampus_R,4102,r,temporal,Hip
39,ParaHippocampal_L,4111,l,temporal,ParaHip
40,ParaHippocampal_R,4112,r,temporal,ParaHip
